code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101001914,null,101001914,660000,50
1,12,null,null,null,101001658,null,101001658,298848,50
1,12,null,null,null,101002285,null,101002285,0,50
1,12,null,null,null,101001532,null,101001532,0,50
1,12,null,null,null,101001668,null,101001668,0,50
1,12,null,null,null,101001068,null,101001068,355308,50
1,12,null,null,null,101002274,null,101002274,744468,50
1,12,null,null,null,101001341,null,101001341,0,50
1,12,null,null,null,101002793,null,101002793,1280000,50
1,12,null,null,null,101003025,null,101003025,571328,50
1,12,null,null,null,101002823,null,101002823,1139600,50
1,12,null,null,null,101003028,null,101003028,1091984,50
1,12,null,null,null,101002969,null,101002969,463744,50
1,12,null,null,null,101002798,null,101002798,651468,50
1,12,null,null,null,101002819,null,101002819,387488,50
1,12,null,null,null,101002754,null,101002754,0,50
1,12,null,null,null,101002956,null,101002956,547208,50
1,12,null,null,null,101003009,null,101003009,649680,50
1,12,null,null,null,101002812,null,101002812,478624,50
1,12,null,null,null,101002945,null,101002945,0,50
1,12,null,null,null,101002996,null,101002996,285456,50
1,12,null,null,null,101003022,null,101003022,768000,50
1,12,null,null,null,101002495,null,101002495,0,50
1,12,null,null,null,101002844,null,101002844,792128,50
1,12,null,null,null,101002778,null,101002778,1000720,50
1,12,null,null,null,101002856,null,101002856,967744,50
1,12,null,null,null,101002986,null,101002986,416416,50
1,12,null,null,null,101002936,null,101002936,0,50
1,12,null,null,null,101002877,null,101002877,719424,50
1,12,null,null,null,101003015,null,101003015,1331808,50
1,12,null,null,null,101002742,null,101002742,0,50
1,12,null,null,null,101002852,null,101002852,1895120,50
1,12,null,null,null,101002854,null,101002854,418512,50
1,12,null,null,null,101002962,null,101002962,460432,50
1,12,null,null,null,101002941,null,101002941,1041576,50
1,12,null,null,null,101002757,null,101002757,312216,50
1,12,null,null,null,101002705,null,101002705,597632,50
1,12,null,null,null,101002935,null,101002935,505632,50
1,12,null,null,null,101002552,null,101002552,0,50
1,12,null,null,null,101002828,null,101002828,1234464,50
1,12,null,null,null,101002521,null,101002521,960624,50
1,12,null,null,null,101002882,null,101002882,0,50
1,12,null,null,null,101003014,null,101003014,943120,50
1,12,null,null,null,101002749,null,101002749,964848,50
1,12,null,null,null,101003019,null,101003019,529308,50
1,12,null,null,null,101003108,null,101003108,540800,50
1,12,null,null,null,101002930,null,101002930,636096,50
1,12,null,null,null,101003030,null,101003030,760992,50
1,12,null,null,null,101002879,null,101002879,457552,50
1,12,null,null,null,101002928,null,101002928,1257520,50
1,12,null,null,null,101002896,null,101002896,604112,50
1,12,null,null,null,101002865,null,101002865,859696,50
1,12,null,null,null,101002948,null,101002948,1021824,50
1,12,null,null,null,101002738,null,101002738,0,50
1,12,null,null,null,101002988,null,101002988,415392,50
1,12,null,null,null,101003023,null,101003023,465968,50
1,12,null,null,null,101002998,null,101002998,719424,50
1,12,null,null,null,101003027,null,101003027,599024,50
1,12,null,null,null,101002939,null,101002939,1922688,50
1,12,null,null,null,101003127,null,101003127,617584,50
1,12,null,null,null,101002678,null,101002678,722512,50
1,12,null,null,null,101002883,null,101002883,346356,50
1,12,null,null,null,101002482,null,101002482,0,50
1,12,null,null,null,101002513,null,101002513,1983728,50
1,12,null,null,null,101002713,null,101002713,0,50
1,12,null,null,null,101002950,null,101002950,979968,50
1,12,null,null,null,101002881,null,101002881,530640,50
1,12,null,null,null,101003010,null,101003010,1345584,50
1,12,null,null,null,101002921,null,101002921,318372,50
1,12,null,null,null,101002354,null,101002354,0,50
1,12,null,null,null,101003002,null,101003002,439760,50
1,12,null,null,null,101003132,null,101003132,0,50
1,12,null,null,null,101002884,null,101002884,834880,50
1,12,null,null,null,101002677,null,101002677,0,50
1,12,null,null,null,101002813,null,101002813,0,50
1,12,null,null,null,101002920,null,101002920,1406608,50
1,12,null,null,null,101002961,null,101002961,459408,50
1,12,null,null,null,101002899,null,101002899,610448,50
1,12,null,null,null,101003048,null,101003048,0,50
1,12,null,null,null,101002895,null,101002895,654048,50
1,12,null,null,null,101002364,null,101002364,0,50
1,12,null,null,null,101002602,null,101002602,0,50
1,12,null,null,null,101002911,null,101002911,468752,50
