code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101003553,null,101003553,179004,50
1,12,null,null,null,101003556,null,101003556,0,50
1,12,null,null,null,101000375,null,101000375,301824,50
1,12,null,null,null,101003458,null,101003458,198366,50
1,12,null,null,null,101003222,null,101003222,0,50
1,12,null,null,null,101003233,null,101003233,162474,50
1,12,null,null,null,101003209,null,101003209,171132,50
1,12,null,null,null,101003324,null,101003324,222720,50
1,12,null,null,null,101003437,null,101003437,0,50
1,12,null,null,null,101003597,null,101003597,209826,50
1,12,null,null,null,101003443,null,101003443,245022,50
1,12,null,null,null,101003404,null,101003404,0,50
1,12,null,null,null,101003449,null,101003449,187254,50
1,12,null,null,null,101003403,null,101003403,263184,50
1,12,null,null,null,101003181,null,101003181,162474,50
1,12,null,null,null,101003494,null,101003494,235458,50
1,12,null,null,null,101003424,null,101003424,134808,50
1,12,null,null,null,101003503,null,101003503,155736,50
1,12,null,null,null,101003501,null,101003501,408000,50
1,12,null,null,null,101003583,null,101003583,182322,50
1,12,null,null,null,101003409,null,101003409,437760,50
1,12,null,null,null,101003605,null,101003605,795606,50
1,12,null,null,null,101003517,null,101003517,799716,50
1,12,null,null,null,101003357,null,101003357,301824,50
1,12,null,null,null,101003460,null,101003460,281784,50
1,12,null,null,null,101003575,null,101003575,0,50
1,12,null,null,null,101001763,null,101001763,0,50
1,12,null,null,null,101003173,null,101003173,153456,50
1,12,null,null,null,101003070,null,101003070,672000,50
1,12,null,null,null,101003140,null,101003140,242052,50
1,12,null,null,null,101002174,null,101002174,0,50
1,12,null,null,null,101003331,null,101003331,0,50
1,12,null,null,null,101003293,null,101003293,380238,50
1,12,null,null,null,101003252,null,101003252,428880,50
1,12,null,null,null,101003414,null,101003414,244644,50
1,12,null,null,null,101003470,null,101003470,102942,50
1,12,null,null,null,101003383,null,101003383,187368,50
1,12,null,null,null,101003436,null,101003436,215310,50
1,12,null,null,null,101003519,null,101003519,267624,50
1,12,null,null,null,101003574,null,101003574,255462,50
1,12,null,null,null,101003442,null,101003442,156102,50
1,12,null,null,null,101003457,null,101003457,435680,50
1,12,null,null,null,101003377,null,101003377,187368,50
1,12,null,null,null,101003608,null,101003608,168474,50
1,12,null,null,null,101003459,null,101003459,159318,50
1,12,null,null,null,101003405,null,101003405,282660,50
1,12,null,null,null,101003433,null,101003433,162474,50
1,12,null,null,null,101003428,null,101003428,150072,50
1,12,null,null,null,101003126,null,101003126,278202,50
1,12,null,null,null,101003155,null,101003155,187482,50
1,12,null,null,null,101003255,null,101003255,266934,50
1,12,null,null,null,101003308,null,101003308,212940,50
1,12,null,null,null,101003211,null,101003211,291102,50
1,12,null,null,null,101003378,null,101003378,222786,50
1,12,null,null,null,101002092,null,101002092,0,50
1,12,null,null,null,101003066,null,101003066,416244,50
1,12,null,null,null,101003239,null,101003239,162210,50
1,12,null,null,null,101003290,null,101003290,294180,50
1,12,null,null,null,101003202,null,101003202,0,50
1,12,null,null,null,101003444,null,101003444,372846,50
1,12,null,null,null,101003334,null,101003334,618660,50
1,12,null,null,null,101002161,null,101002161,337182,50
1,12,null,null,null,101003468,null,101003468,237558,50
1,12,null,null,null,101003395,null,101003395,164358,50
1,12,null,null,null,101003393,null,101003393,343626,50
1,12,null,null,null,101003463,null,101003463,271782,50
1,12,null,null,null,101003374,null,101003374,157194,50
1,12,null,null,null,101003486,null,101003486,495798,50
1,12,null,null,null,101003527,null,101003527,235158,50
1,12,null,null,null,101003610,null,101003610,171654,50
1,12,null,null,null,101003537,null,101003537,291138,50
1,12,null,null,null,101003612,null,101003612,312222,50
1,12,null,null,null,101003179,null,101003179,139320,50
1,12,null,null,null,101003506,null,101003506,210498,50
1,12,null,null,null,101003490,null,101003490,235458,50
1,12,null,null,null,101003582,null,101003582,243672,50
1,12,null,null,null,101003348,null,101003348,481038,50
1,12,null,null,null,101003619,null,101003619,241698,50
1,12,null,null,null,101003558,null,101003558,311004,50
1,12,null,null,null,101003617,null,101003617,145038,50
1,12,null,null,null,101003139,null,101003139,297276,50
1,12,null,null,null,101003600,null,101003600,209538,50
1,12,null,null,null,101003569,null,101003569,235134,50
1,12,null,null,null,101003520,null,101003520,0,50
1,12,null,null,null,101003623,null,101003623,127362,50
1,12,null,null,null,101003620,null,101003620,256422,50
1,12,null,null,null,101003415,null,101003415,155466,50
1,12,null,null,null,101003250,null,101003250,302688,50
1,12,null,null,null,101003715,null,101003715,132678,50
1,12,null,null,null,101003766,null,101003766,222348,50
1,12,null,null,null,101003754,null,101003754,833292,50
1,12,null,null,null,101003648,null,101003648,316554,50
1,12,null,null,null,101003565,null,101003565,167838,50
1,12,null,null,null,101003750,null,101003750,234930,50
1,12,null,null,null,101003616,null,101003616,243492,50
1,12,null,null,null,101003504,null,101003504,262056,50
1,12,null,null,null,101003745,null,101003745,231552,50
1,12,null,null,null,101003131,null,101003131,209922,50
1,12,null,null,null,101003773,null,101003773,209538,50
1,12,null,null,null,101003430,null,101003430,165354,50
1,12,null,null,null,101003624,null,101003624,242640,50
1,12,null,null,null,101003532,null,101003532,432000,50
1,12,null,null,null,101003510,null,101003510,490560,50
1,12,null,null,null,101003554,null,101003554,214476,50
1,12,null,null,null,101003213,null,101003213,172716,50
1,12,null,null,null,101003150,null,101003150,337068,50
1,12,null,null,null,101003216,null,101003216,0,50
1,12,null,null,null,101003448,null,101003448,384000,50
1,12,null,null,null,101003658,null,101003658,250560,50
1,12,null,null,null,101003375,null,101003375,222624,50
1,12,null,null,null,101003479,null,101003479,177654,50
1,12,null,null,null,101003592,null,101003592,165516,50
1,12,null,null,null,101003650,null,101003650,309678,50
1,12,null,null,null,101003769,null,101003769,209592,50
1,12,null,null,null,101003654,null,101003654,251520,50
1,12,null,null,null,101003614,null,101003614,0,50
1,12,null,null,null,101003235,null,101003235,242856,50
1,12,null,null,null,101003480,null,101003480,137688,50
1,12,null,null,null,101003243,null,101003243,0,50
1,12,null,null,null,101003441,null,101003441,187254,50
1,12,null,null,null,101003536,null,101003536,240156,50
1,12,null,null,null,101003496,null,101003496,186750,50
1,12,null,null,null,101003580,null,101003580,330828,50
1,12,null,null,null,101003534,null,101003534,492390,50
1,12,null,null,null,101003698,null,101003698,884112,50
1,12,null,null,null,101003513,null,101003513,607830,50
1,12,null,null,null,101003502,null,101003502,267774,50
1,12,null,null,null,101003697,null,101003697,0,50
1,12,null,null,null,101003237,null,101003237,0,50
