code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101003157,null,101003157,844872,50
1,12,null,null,null,101003148,null,101003148,1079136,50
1,12,null,null,null,101003142,null,101003142,744234,50
1,12,null,null,null,101003071,null,101003071,1861224,50
1,12,null,null,null,101003159,null,101003159,633624,50
1,12,null,null,null,101003096,null,101003096,848112,50
1,12,null,null,null,101003051,null,101003051,1565136,50
1,12,null,null,null,101003150,null,101003150,1098954,50
1,12,null,null,null,101003174,null,101003174,973602,50
1,12,null,null,null,101003046,null,101003046,568872,50
1,12,null,null,null,101003114,null,101003114,850722,50
1,12,null,null,null,101003160,null,101003160,828312,50
1,12,null,null,null,101003104,null,101003104,0,50
1,12,null,null,null,101003153,null,101003153,2466000,50
1,12,null,null,null,101003139,null,101003139,1067496,50
1,12,null,null,null,101003121,null,101003121,529704,50
1,12,null,null,null,101003132,null,101003132,0,50
1,12,null,null,null,101003184,null,101003184,862704,50
1,12,null,null,null,101002941,null,101002941,1041576,50
1,12,null,null,null,101003193,null,101003193,547560,50
1,12,null,null,null,101003158,null,101003158,620856,50
1,12,null,null,null,101003108,null,101003108,677680,50
1,12,null,null,null,101003198,null,101003198,648168,50
1,12,null,null,null,101003149,null,101003149,834186,50
1,12,null,null,null,101002803,null,101002803,0,50
1,12,null,null,null,101001929,null,101001929,0,50
1,12,null,null,null,101003144,null,101003144,803496,50
1,12,null,null,null,101003037,null,101003037,0,50
1,12,null,null,null,101003187,null,101003187,668730,50
1,12,null,null,null,101002233,null,101002233,215760,50
1,12,null,null,null,101002285,null,101002285,0,50
1,12,null,null,null,101003156,null,101003156,613602,50
1,12,null,null,null,101003024,null,101003024,889536,50
1,12,null,null,null,101003146,null,101003146,0,50
1,12,null,null,null,101003172,null,101003172,1186696,50
1,12,null,null,null,101003120,null,101003120,643374,50
1,12,null,null,null,101003086,null,101003086,2575680,50
1,12,null,null,null,101003169,null,101003169,804096,50
1,12,null,null,null,101003178,null,101003178,0,50
1,12,null,null,null,101003068,null,101003068,773280,50
1,12,null,null,null,101003047,null,101003047,1020930,50
1,12,null,null,null,101003181,null,101003181,618018,50
1,12,null,null,null,101003200,null,101003200,933528,50
1,12,null,null,null,101003173,null,101003173,593664,50
1,12,null,null,null,101003179,null,101003179,537120,50
1,12,null,null,null,101000046,null,101000046,0,50
1,12,null,null,null,101000582,null,101000582,698244,50
1,12,null,null,null,101002998,null,101002998,1111506,50
1,12,null,null,null,101002812,null,101002812,731400,50
1,12,null,null,null,101003091,null,101003091,1290360,50
1,12,null,null,null,101002830,null,101002830,2696352,50
1,12,null,null,null,101003113,null,101003113,0,50
1,12,null,null,null,101001133,null,101001133,889716,50
1,12,null,null,null,101000837,null,101000837,1738116,50
1,12,null,null,null,101001334,null,101001334,1458996,50
1,12,null,null,null,101001100,null,101001100,0,50
1,12,null,null,null,101000590,null,101000590,0,50
1,12,null,null,null,101000553,null,101000553,630012,50
1,12,null,null,null,101001412,null,101001412,769296,50
1,12,null,null,null,101001729,null,101001729,1514520,50
1,12,null,null,null,101002346,null,101002346,0,50
1,12,null,null,null,101001815,null,101001815,690120,50
1,12,null,null,null,101001609,null,101001609,516840,50
1,12,null,null,null,101001996,null,101001996,1251000,50
1,12,null,null,null,101001418,null,101001418,587904,50
1,12,null,null,null,101002938,null,101002938,705150,50
1,12,null,null,null,101002895,null,101002895,987792,50
1,12,null,null,null,101002936,null,101002936,0,50
1,12,null,null,null,101002893,null,101002893,324384,50
1,12,null,null,null,101003145,null,101003145,1857576,50
1,12,null,null,null,101003182,null,101003182,598098,50
1,12,null,null,null,101003186,null,101003186,624318,50
1,12,null,null,null,101003154,null,101003154,988056,50
1,12,null,null,null,101003162,null,101003162,787200,50
1,12,null,null,null,101003129,null,101003129,2311098,50
1,12,null,null,null,101003188,null,101003188,1016904,50
1,12,null,null,null,101003064,null,101003064,1124208,50
1,12,null,null,null,101003191,null,101003191,643104,50
1,12,null,null,null,101003044,null,101003044,1483272,50
1,12,null,null,null,101003116,null,101003116,853770,50
1,12,null,null,null,101003166,null,101003166,1095318,50
1,12,null,null,null,101003194,null,101003194,0,50
1,12,null,null,null,101003308,null,101003308,822492,50
1,12,null,null,null,101003218,null,101003218,926880,50
1,12,null,null,null,101003256,null,101003256,603918,50
1,12,null,null,null,101003216,null,101003216,0,50
1,12,null,null,null,101003232,null,101003232,862056,50
1,12,null,null,null,101003260,null,101003260,1384080,50
1,12,null,null,null,101003355,null,101003355,1495680,50
1,12,null,null,null,101003211,null,101003211,1144248,50
1,12,null,null,null,101003217,null,101003217,918378,50
1,12,null,null,null,101003360,null,101003360,661896,50
1,12,null,null,null,101003226,null,101003226,322264,50
1,12,null,null,null,101003210,null,101003210,1049328,50
1,12,null,null,null,101003327,null,101003327,1219764,50
1,12,null,null,null,101003354,null,101003354,3169440,50
1,12,null,null,null,101003261,null,101003261,1102872,50
1,12,null,null,null,101003251,null,101003251,1058664,50
1,12,null,null,null,101003237,null,101003237,54064,50
1,12,null,null,null,101003209,null,101003209,655476,50
1,12,null,null,null,101003319,null,101003319,591354,50
1,12,null,null,null,101003275,null,101003275,0,50
1,12,null,null,null,101003318,null,101003318,681696,50
1,12,null,null,null,101003291,null,101003291,0,50
1,12,null,null,null,101003273,null,101003273,0,50
1,12,null,null,null,101003244,null,101003244,855624,50
1,12,null,null,null,101003213,null,101003213,627918,50
1,12,null,null,null,101003300,null,101003300,193548,50
1,12,null,null,null,101003225,null,101003225,767424,50
1,12,null,null,null,101003301,null,101003301,1214400,50
1,12,null,null,null,101003247,null,101003247,610392,50
1,12,null,null,null,101003243,null,101003243,0,50
1,12,null,null,null,101003329,null,101003329,528024,50
1,12,null,null,null,101003336,null,101003336,1770600,50
1,12,null,null,null,101003335,null,101003335,853548,50
1,12,null,null,null,101003296,null,101003296,1453098,50
1,12,null,null,null,101003224,null,101003224,1165584,50
1,12,null,null,null,101003326,null,101003326,853062,50
1,12,null,null,null,101003314,null,101003314,919836,50
1,12,null,null,null,101003317,null,101003317,941838,50
1,12,null,null,null,101003295,null,101003295,0,50
1,12,null,null,null,101003239,null,101003239,626556,50
1,12,null,null,null,101001341,null,101001341,0,50
1,12,null,null,null,101003297,null,101003297,2699046,50
1,12,null,null,null,101003298,null,101003298,0,50
1,12,null,null,null,101003227,null,101003227,621516,50
1,12,null,null,null,101003281,null,101003281,1685532,50
1,12,null,null,null,101003259,null,101003259,1258344,50
1,12,null,null,null,101001763,null,101001763,0,50
1,12,null,null,null,101003271,null,101003271,1857156,50
1,12,null,null,null,101003233,null,101003233,618018,50
1,12,null,null,null,101003331,null,101003331,0,50
1,12,null,null,null,101003221,null,101003221,1699212,50
1,12,null,null,null,101003345,null,101003345,853308,50
1,12,null,null,null,101003258,null,101003258,3045168,50
1,12,null,null,null,101002819,null,101002819,595152,50
1,12,null,null,null,101003094,null,101003094,763488,50
1,12,null,null,null,101003192,null,101003192,922140,50
1,12,null,null,null,101003231,null,101003231,0,50
1,12,null,null,null,101003236,null,101003236,550608,50
1,12,null,null,null,101002857,null,101002857,984432,50
1,12,null,null,null,101003302,null,101003302,1515510,50
1,12,null,null,null,101003316,null,101003316,1448688,50
1,12,null,null,null,101003305,null,101003305,593184,50
1,12,null,null,null,101003290,null,101003290,1156560,50
